dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
5200,26000,MAD,CRITBETA,-0.5,0,1.4e+25,2.8,7.49e+24,3.4971999999999997e+25,
5200,26000,MAD,CRITBETA,-0.5,1,1.4e+25,2.8,7.49e+24,2.0990666666666666e+25,
5200,26000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.3,7.49e+24,3.3217e+25,
5200,26000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.3,7.49e+24,1.6739e+25,
5400,27000,MAD,RBETA,-0.5,0,1.3e+25,3.8,7.49e+24,4.1462e+25,
5400,27000,MAD,RBETA,-0.5,1,1.3e+25,3.8,7.49e+24,2.248733333333333e+25,
5400,27000,MAD,RBETAwJET,-0.5,0,8e+24,3.7,7.49e+24,3.5713e+25,
5400,27000,MAD,RBETAwJET,-0.5,1,8e+24,3.7,7.49e+24,1.7237666666666665e+25,
5400,27000,MAD,CRITBETA,-0.5,0,1.4e+25,2.9,7.49e+24,3.5721e+25,
5400,27000,MAD,CRITBETA,-0.5,1,1.4e+25,2.9,7.49e+24,2.1240333333333332e+25,
5400,27000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.5,7.49e+24,3.4715e+25,
5400,27000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.5,7.49e+24,1.7238333333333334e+25,
5600,28000,MAD,RBETA,-0.5,0,1.3e+25,3.6,7.49e+24,3.9964e+25,
5600,28000,MAD,RBETA,-0.5,1,1.3e+25,3.6,7.49e+24,2.1988e+25,
5600,28000,MAD,RBETAwJET,-0.5,0,8e+24,3.3,7.49e+24,3.2716999999999997e+25,
5600,28000,MAD,RBETAwJET,-0.5,1,8e+24,3.3,7.49e+24,1.6239e+25,
5600,28000,MAD,CRITBETA,-0.5,0,1.4e+25,3.0,7.49e+24,3.647e+25,
5600,28000,MAD,CRITBETA,-0.5,1,1.4e+25,3.0,7.49e+24,2.149e+25,
5600,28000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.2,7.49e+24,3.2468000000000004e+25,
5600,28000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.2,7.49e+24,1.6489333333333335e+25,
5800,29000,MAD,RBETA,-0.5,0,1.3e+25,3.5,7.49e+24,3.921499999999999e+25,
5800,29000,MAD,RBETA,-0.5,1,1.3e+25,3.5,7.49e+24,2.173833333333333e+25,
5800,29000,MAD,RBETAwJET,-0.5,0,8e+24,3.7,7.49e+24,3.5713e+25,
5800,29000,MAD,RBETAwJET,-0.5,1,8e+24,3.7,7.49e+24,1.7237666666666665e+25,
5800,29000,MAD,CRITBETA,-0.5,0,1.3e+25,3.0,7.49e+24,3.5469999999999997e+25,
5800,29000,MAD,CRITBETA,-0.5,1,1.3e+25,3.0,7.49e+24,2.0489999999999997e+25,
5800,29000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.2,7.49e+24,3.2468000000000004e+25,
5800,29000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.2,7.49e+24,1.6489333333333335e+25,
6000,30000,MAD,RBETA,-0.5,0,2.4e+25,4.7,7.49e+24,5.9203e+25,
6000,30000,MAD,RBETA,-0.5,1,2.4e+25,4.7,7.49e+24,3.573433333333333e+25,
6000,30000,MAD,RBETAwJET,-0.5,0,1.84e+25,4.34,7.49e+24,5.09066e+25,
6000,30000,MAD,RBETAwJET,-0.5,1,1.84e+25,4.34,7.49e+24,2.923553333333333e+25,
6000,30000,MAD,CRITBETA,-0.5,0,1.4e+25,5.9,7.49e+24,5.8191e+25,
