row_id,dump_index,timestep,state,model,run_tag,spin,Rhigh,Rhigh_used,Rlow_used,f_used,beta_crit_used,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
58,5000,25000,MAD,CRITBETAWJET,Ma-0.5_5000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,3.562182823133421e+25,11.377008950774725,1.208356252726369e+26,6.402642724510176e+25,True,
76,6000,30000,SANE,CRITBETAWJET,Sa+0.94_6000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,1.719513236442237e+27,2.746597308168973,6.745786310391458e+27,3.3949375944253103e+27,True,
61,5000,25000,MAD,CRITBETAWJET,Ma+0.94_5000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,1.7322293059106729e+25,5.532447181024962,5.8760322444983695e+25,3.1134969521065717e+25,True,
72,6000,30000,SANE,CRITBETAWJET,Sa-0.5_6000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,6.750800112130067e+28,85.4044774275741,2.2379819481376127e+29,1.1960473235212087e+29,True,
65,6000,30000,SANE,CRITBETA,Sa-0.5_6000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.4264635803484005e+28,30.264711495212094,6.964905783972214e+28,3.2726109815563385e+28,True,
73,6000,30000,SANE,CRITBETAWJET,Sa-0.5_6000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,7.1202706723065235e+28,106.28776254565807,2.6570931218161952e+29,1.3603824187591666e+29,True,
41,5000,25000,SANE,CRITBETAWJET,Sa-0.5_5000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,5.218310955723746e+28,66.0169332265343,1.7299409736179525e+29,9.245343882542337e+28,True,
66,6000,30000,SANE,CRITBETA,Sa-0.5_6000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.4264635803484005e+28,30.264711495212094,6.964905783972214e+28,3.2726109815563385e+28,True,
43,5000,25000,SANE,CRITBETAWJET,Sa-0.5_5000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,5.218310955723746e+28,66.0169332265343,1.7299409736179525e+29,9.245343882542337e+28,True,
42,5000,25000,SANE,CRITBETAWJET,Sa-0.5_5000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,4.587935543586083e+28,58.04204406338567,1.5209629607185661e+29,8.128500231452608e+28,True,
75,6000,30000,SANE,CRITBETAWJET,Sa-0.5_6000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,7.1202706723065235e+28,106.28776254565807,2.6570931218161952e+29,1.3603824187591666e+29,True,
74,6000,30000,SANE,CRITBETAWJET,Sa-0.5_6000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,6.750800112130067e+28,85.4044774275741,2.2379819481376127e+29,1.1960473235212087e+29,True,
