row_id,dump_index,timestep,state,model,spin,Rhigh,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
154,5000,25000,MAD,RBETA,0.94,160,7.49e+24,4.011514418959553e+24,2.0794739291546525,1.95867741483279e+25,9.203267662082332e+24,True,
158,5000,25000,MAD,RBETAwJET,-0.5,80,7.49e+24,2.7535369650254456e+25,8.794330963009706,9.340490856319715e+25,4.949188262123535e+25,True,
161,5000,25000,MAD,RBETAwJET,-0.5,160,7.49e+24,3.213557591694757e+25,10.263558974881954,1.090096326388134e+26,5.776026149090284e+25,True,
156,5000,25000,MAD,RBETAwJET,-0.5,40,7.49e+24,2.560229316509476e+25,6.730906003260757,7.601677912951783e+25,4.240712181990245e+25,True,
162,5000,25000,MAD,RBETAwJET,0.94,40,7.49e+24,1.1593503378702812e+25,2.680979558028664,3.1674040268337506e+25,1.828701567524771e+25,True,
164,5000,25000,MAD,RBETAwJET,0.94,80,7.49e+24,1.2428219406178644e+25,3.7183340923053394,4.027854175754564e+25,2.171166018996764e+25,True,
168,5000,25000,MAD,CRITBETA,-0.5,40,7.49e+24,9.262251406402672e+24,3.614725341326453,3.63365442129378e+25,1.828701567524771e+25,True,
170,5000,25000,MAD,CRITBETA,-0.5,80,7.49e+24,9.262251406402672e+24,3.614725341326453,3.63365442129378e+25,1.828701567524771e+25,True,
172,5000,25000,MAD,CRITBETA,-0.5,160,7.49e+24,9.262251406402672e+24,3.614725341326453,3.63365442129378e+25,1.828701567524771e+25,True,
166,5000,25000,MAD,RBETAwJET,0.94,160,7.49e+24,1.4097598785185558e+25,4.502534415749153,4.782158155914672e+25,2.5338926376505942e+25,True,
174,5000,25000,MAD,CRITBETA,0.94,40,7.49e+24,3.665603666577864e+24,1.4305539639831848,1.4380452856811915e+25,7.237220063322547e+24,True,
176,5000,25000,MAD,CRITBETA,0.94,80,7.49e+24,3.665603666577864e+24,1.4305539639831848,1.4380452856811915e+25,7.237220063322547e+24,True,
178,5000,25000,MAD,CRITBETA,0.94,160,7.49e+24,3.665603666577864e+24,1.4305539639831848,1.4380452856811915e+25,7.237220063322547e+24,True,
180,5000,25000,MAD,CRITBETAwJET,-0.5,40,7.49e+24,1.822096774016258e+25,3.952017866353022,4.782158155914672e+25,2.808783901315729e+25,True,
182,5000,25000,MAD,CRITBETAwJET,-0.5,80,7.49e+24,1.822096774016258e+25,3.952017866353022,4.782158155914672e+25,2.808783901315729e+25,True,
185,5000,25000,MAD,CRITBETAwJET,-0.5,160,7.49e+24,1.822096774016258e+25,3.952017866353022,4.782158155914672e+25,2.808783901315729e+25,True,
186,5000,25000,MAD,CRITBETAwJET,0.94,40,7.49e+24,6.473187199260086e+24,1.936679089919932,2.097891358276038e+25,1.1308429327093515e+25,True,
188,5000,25000,MAD,CRITBETAwJET,0.94,80,7.49e+24,6.473187199260086e+24,1.936679089919932,2.097891358276038e+25,1.1308429327093515e+25,True,
189,5000,25000,MAD,CRITBETAwJET,0.94,160,7.49e+24,6.473187199260086e+24,1.936679089919932,2.097891358276038e+25,1.1308429327093515e+25,True,
192,6000,30000,SANE,RBETA,-0.5,40,1.83e+27,1.3318049034750367e+28,28.25637592635644,6.502721697998265e+28,3.055443834982779e+28,True,
198,6000,30000,SANE,RBETA,0.94,40,1.83e+27,7.54335561803155e+26,1.2049084471088174,2.959318020012291e+27,1.4893297145395334e+27,True,
200,6000,30000,SANE,RBETA,0.94,80,1.83e+27,8.07950326257392e+26,1.2905478970457125,3.1696529778510455e+27,1.5951845434552764e+27,True,
194,6000,30000,SANE,RBETA,-0.5,80,1.83e+27,1.657555623335376e+28,26.47631734788464,6.502721697998265e+28,3.2726109815563385e+28,True,
196,6000,30000,SANE,RBETA,-0.5,160,1.83e+27,1.657555623335376e+28,26.47631734788464,6.502721697998265e+28,3.2726109815563385e+28,True,
202,6000,30000,SANE,RBETA,0.94,160,1.83e+27,8.07950326257392e+26,1.2905478970457125,3.1696529778510455e+27,1.5951845434552764e+27,True,
210,6000,30000,SANE,RBETAwJET,0.94,40,1.83e+27,1.751634199886739e+27,1.6578794702071529,4.785553630365829e+27,2.7629406767131023e+27,True,
212,6000,30000,SANE,RBETAwJET,0.94,80,1.83e+27,1.6939770300184364e+27,2.074329491793204,5.49e+27,2.959318020012291e+27,True,
204,6000,30000,SANE,RBETAwJET,-0.5,40,1.83e+27,5.031380988124835e+28,50.77244661193073,1.4322738718108158e+29,8.128500231452608e+28,True,
206,6000,30000,SANE,RBETAwJET,-0.5,80,1.83e+27,5.826405232115129e+28,62.694013683412,1.7299409736179525e+29,9.65074006680326e+28,True,
208,6000,30000,SANE,RBETAwJET,-0.5,160,1.83e+27,6.195554061323047e+28,78.380050985486,2.0539103391666986e+29,1.0976737171437692e+29,True,
215,6000,30000,SANE,RBETAwJET,0.94,160,1.83e+27,1.7714714329206765e+27,2.473590894860245,6.298142770514925e+27,3.280361878785426e+27,True,
217,6000,30000,SANE,CRITBETA,-0.5,40,1.83e+27,1.6329395391672765e+28,19.99587116227319,5.29218396186327e+28,2.8526876800659406e+28,True,
222,6000,30000,SANE,CRITBETA,0.94,40,1.83e+27,6.938194935771677e+26,0.8496043405573687,2.2485954367971525e+27,1.2120781413171624e+27,True,
218,6000,30000,SANE,CRITBETA,-0.5,80,1.83e+27,1.6329395391672765e+28,19.99587116227319,5.29218396186327e+28,2.8526876800659406e+28,True,
220,6000,30000,SANE,CRITBETA,-0.5,160,1.83e+27,1.6329395391672765e+28,19.99587116227319,5.29218396186327e+28,2.8526876800659406e+28,True,
224,6000,30000,SANE,CRITBETA,0.94,80,1.83e+27,6.938194935771677e+26,0.8496043405573687,2.2485954367971525e+27,1.2120781413171624e+27,True,
227,6000,30000,SANE,CRITBETA,0.94,160,1.83e+27,6.938194935771677e+26,0.8496043405573687,2.2485954367971525e+27,1.2120781413171624e+27,True,
234,6000,30000,SANE,CRITBETAwJET,0.94,40,1.83e+27,1.1813742448511588e+27,0.8642439518371275,2.7629406767131023e+27,1.7085630554718066e+27,True,
236,6000,30000,SANE,CRITBETAwJET,0.94,80,1.83e+27,1.1813742448511588e+27,0.8642439518371275,2.7629406767131023e+27,1.7085630554718066e+27,True,
228,6000,30000,SANE,CRITBETAwJET,-0.5,40,1.83e+27,3.2902819546652776e+28,25.68238633534376,7.990158654033186e+28,4.856907521121247e+28,True,
230,6000,30000,SANE,CRITBETAwJET,-0.5,80,1.83e+27,3.2902819546652776e+28,25.68238633534376,7.990158654033186e+28,4.856907521121247e+28,True,
232,6000,30000,SANE,CRITBETAwJET,-0.5,160,1.83e+27,3.2902819546652776e+28,25.68238633534376,7.990158654033186e+28,4.856907521121247e+28,True,
238,6000,30000,SANE,CRITBETAwJET,0.94,160,1.83e+27,1.1813742448511588e+27,0.8642439518371275,2.7629406767131023e+27,1.7085630554718066e+27,True,
240,6000,30000,MAD,RBETA,-0.5,40,7.49e+24,1.497811338407191e+25,5.845421770482214,5.8760322444983695e+25,2.9572183071042503e+25,True,
242,6000,30000,MAD,RBETA,-0.5,80,7.49e+24,1.523408390745801e+25,6.3688460401633,6.293674074828113e+25,3.113496952106572e+25,True,
246,6000,30000,MAD,RBETA,0.94,40,7.49e+24,7.037789148061398e+24,2.746597308168972,2.7609802986247e+25,1.3895127094123263e+25,True,
248,6000,30000,MAD,RBETA,0.94,80,7.49e+24,7.538003411525177e+24,2.941813038653848,2.95721830710425e+25,1.4882729964697617e+25,True,
244,6000,30000,MAD,RBETA,-0.5,160,7.49e+24,1.6603025369010942e+25,6.479566782495591,6.513498056990292e+25,3.278034376930826e+25,True,
251,6000,30000,MAD,RBETA,0.94,160,7.49e+24,6.487074812877675e+24,3.362745721690231,3.1674040268337506e+25,1.4882729964697617e+25,True,
253,6000,30000,MAD,RBETAwJET,-0.5,40,7.49e+24,3.312105488465232e+25,8.707606999101795,9.834103130792477e+25,5.486104702574313e+25,True,
256,6000,30000,MAD,RBETAwJET,-0.5,160,7.49e+24,4.1761576111975165e+25,14.247539619723744,1.48475647863706e+26,7.733293336255211e+25,True,
254,6000,30000,MAD,RBETAwJET,-0.5,80,7.49e+24,3.812683859515479e+25,11.042561639183193,1.208356252726369e+26,6.569643415431548e+25,True,
258,6000,30000,MAD,RBETAwJET,0.94,40,7.49e+24,1.4904563829133274e+25,4.179317442205343,4.620765147125129e+25,2.5338926376505942e+25,True,
260,6000,30000,MAD,RBETAwJET,0.94,80,7.49e+24,1.7322293059106729e+25,5.532447181024962,5.8760322444983695e+25,3.113496952106572e+25,True,
262,6000,30000,MAD,RBETAwJET,0.94,160,7.49e+24,2.1373452627969423e+25,5.993227604126187,6.626272738287457e+25,3.63365442129378e+25,True,
264,6000,30000,MAD,CRITBETA,-0.5,40,7.49e+24,1.4097598785185558e+25,4.502534415749153,4.782158155914672e+25,2.5338926376505942e+25,True,
